TASKID,task_id,task_type,pro_type,pro_size,pro_weight,status,pickup_lat,pickup_long,pickup_datetime,del_lat,del_long,del_tentativetime,worker_accepttime,worker_pickup_loc_datetime,worker_del_loc_datetime,trip_time_inhrs,req-rating,wor-rating,worker_id,profile_id,pickup,dropof,price
TID_31,31,PD,BRACKET / GRAB HANDLE,1,1,Delivery completed,11.872,79.632,25/08/2022 17:20,13.102,80.194,28/08/2022 12:55,25/08/2022,25/08/2020 17:20,28/08/2022 12:55,19:34:07,3.7,3.8,31,3,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",TVS Industries Chennai India,200
TID_32,32,PD,BRACKET / GRAB HANDLE,1,2,Delivery completed,12.839,79.954,25/08/2022 20:57,12.839,79.954,28/08/2022 12:48,25/08/2022,25/08/2020 20:57,28/08/2022 12:48,15:50:44,3.9,4,32,3,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",300
TID_33,33,PD,BRACKET / GRAB HANDLE,1,3,Delivery completed,11.871,79.739,26/08/2022 10:07,11.871,79.739,28/08/2022 16:03,26/08/2022,26/08/2020 10:07,28/08/2022 16:03,05:55:21,3.7,2.8,33,3,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",400
TID_34,34,PD,BRACKET / GRAB HANDLE,2,4,Delivery completed,12.839,79.954,26/08/2022 10:45,12.839,79.954,28/08/2022 12:46,26/08/2022,26/08/2020 10:45,28/08/2022 12:46,02:00:38,4.9,2.8,34,3,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",340
TID_35,35,PD,BRACKET / GRAB HANDLE,1,5,Delivery completed,13.215,80.32,26/08/2022 11:19,12.766,77.786,28/08/2022 12:58,26/08/2022,26/08/2020 11:19,28/08/2022 12:58,01:38:31,4,3.9,35,3,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",300
TID_36,36,PD,BRACKET / GRAB HANDLE,2,1,Delivery completed,12.839,79.954,26/08/2022 11:51,12.839,79.954,28/08/2022 12:47,26/08/2022,26/08/2020 11:51,28/08/2022 12:47,00:55:43,4.2,3.9,36,3,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",300
TID_37,37,PD,BRACKET / GRAB HANDLE,1,2,Delivery completed,12.839,79.954,26/08/2022 14:27,12.839,79.954,28/08/2022 12:50,26/08/2022,26/08/2020 14:27,28/08/2022 12:50,22:22:46,4.9,4.2,37,3,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",400
TID_38,38,PD,BRACKET / GRAB HANDLE,1,3,Delivery completed,13.215,80.32,26/08/2022 17:06,12.766,77.786,28/08/2022 12:59,26/08/2022,26/08/2020 17:06,28/08/2022 12:59,19:52:15,3.6,4.2,38,3,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",400
TID_39,39,PD,BRACKET / GRAB HANDLE,2,4,Delivery completed,13.102,80.194,26/08/2022 16:20,11.872,79.632,28/08/2022 13:25,26/08/2022,26/08/2020 16:20,28/08/2022 13:25,21:04:02,3.9,3.9,39,3,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",250
TID_40,40,PD,BRACKET / GRAB HANDLE,1,5,Delivery completed,12.839,79.954,26/08/2022 20:45,12.839,79.954,28/08/2022 12:46,26/08/2022,26/08/2020 20:45,28/08/2022 12:46,16:00:08,3.8,2.8,40,3,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",150
TID_41,41,PD,BRACKET / GRAB HANDLE,2,1,Delivery completed,12.839,79.954,26/08/2022 20:55,12.839,79.954,28/08/2022 17:14,26/08/2022,26/08/2020 20:55,28/08/2022 17:14,20:18:10,4.9,4.2,41,4,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",298
TID_42,42,PD,BRACKET / GRAB HANDLE,1,2,Delivery completed,12.839,79.954,26/08/2022 22:31,12.839,79.954,28/08/2022 12:48,26/08/2022,26/08/2020 22:31,28/08/2022 12:48,14:16:41,4.3,4.4,42,4,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",150
TID_43,43,PD,BRACKET / GRAB HANDLE,1,3,Delivery completed,13.215,80.32,27/08/2022 11:24,12.766,77.786,28/08/2022 18:48,27/08/2022,27/08/2020 11:24,28/08/2022 18:48,07:23:39,4.9,4.4,43,4,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",300
TID_44,44,PD,BRACKET / GRAB HANDLE,2,4,Delivery completed,11.871,79.739,27/08/2022 10:07,11.871,79.739,28/08/2022 13:08,27/08/2022,27/08/2020 10:07,28/08/2022 13:08,03:00:28,4.2,4,44,4,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",600
TID_45,45,PD,BRACKET / GRAB HANDLE,1,5,Delivery completed,12.839,79.954,27/08/2022 08:57,12.839,79.954,28/08/2022 12:48,27/08/2022,27/08/2020 08:57,28/08/2022 12:48,03:50:53,4.9,3.8,45,4,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",300
TID_46,46,PD,BRACKET / GRAB HANDLE,2,1,Delivery completed,12.839,79.954,27/08/2022 11:49,12.839,79.954,28/08/2022 14:18,27/08/2022,27/08/2020 11:49,28/08/2022 14:18,02:28:46,3.8,3.9,46,4,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",500
TID_47,47,PD,BRACKET / GRAB HANDLE,1,2,Delivery completed,13.155,80.196,27/08/2022 15:23,12.74,77.82,28/08/2022 12:58,27/08/2022,27/08/2020 15:23,28/08/2022 12:58,21:34:38,4,3.9,47,4,"TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",400
TID_48,48,PD,BRACKET / GRAB HANDLE,1,3,Delivery completed,12.839,79.954,27/08/2022 15:32,12.839,79.954,28/08/2022 17:49,27/08/2022,27/08/2020 15:32,28/08/2022 17:49,02:16:12,4.9,3.9,48,4,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",60
TID_49,49,PD,BRACKET / GRAB HANDLE,1,4,Delivery completed,28.373,76.897,27/08/2022 14:24,23.349,72.056,28/08/2022 12:51,27/08/2022,27/08/2020 14:24,28/08/2022 12:51,22:26:43,4.9,4.6,49,4,"TVSLSL-JAMALPURL-HUB,GURGAON,HARYANA","JAY BHARAT MARUTI LTD,AHMEDABAD,GUJARAT",250
TID_50,50,PD,BRACKET / GRAB HANDLE,2,5,Delivery completed,28.373,76.897,27/08/2022 14:24,23.349,72.056,28/08/2022 12:51,27/08/2022,27/08/2020 14:24,28/08/2022 12:51,22:26:43,4.9,4,50,4,"TVSLSL-JAMALPURL-HUB,GURGAON,HARYANA","JAY BHARAT MARUTI LTD,AHMEDABAD,GUJARAT",300
TID_51,51,PD,BRACKET / GRAB HANDLE,1,1,Delivery completed,13.102,80.194,27/08/2022 21:50,11.872,79.632,28/08/2022 13:07,27/08/2022,27/08/2020 21:50,28/08/2022 13:07,15:17:00,4.9,3,51,4,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",100
TID_52,52,PD,BRACKET / GRAB HANDLE,2,2,Delivery completed,11.872,79.632,28/08/2022 00:32,13.102,80.194,28/08/2022 15:50,28/08/2022,28/08/2020 00:32,28/08/2022 15:50,15:17:02,4.9,3,52,4,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",TVS Industries Chennai India,240
TID_53,53,PD,BRACKET / GRAB HANDLE,1,3,Delivery completed,12.839,79.954,27/08/2022 15:06,12.839,79.954,28/08/2022 12:49,27/08/2022,27/08/2020 15:06,28/08/2022 12:49,21:42:28,3.9,6,53,4,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",250
TID_54,54,PD,BRACKET / GRAB HANDLE,1,4,Delivery completed,13.155,80.196,27/08/2022 15:08,12.751,77.804,28/08/2022 16:16,27/08/2022,27/08/2020 15:08,28/08/2022 16:16,01:07:15,4.9,4,54,4,"TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",350
TID_55,55,PD,BRACKET / GRAB HANDLE,2,5,Delivery completed,12.839,79.954,27/08/2022 15:23,12.839,79.954,28/08/2022 17:44,27/08/2022,27/08/2020 15:23,28/08/2022 17:44,02:20:51,4.9,2,55,4,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",300
TID_56,56,PD,BRACKET / GRAB HANDLE,1,1,Delivery completed,11.872,79.632,27/08/2022 23:28,13.102,80.194,28/08/2022 15:53,27/08/2022,27/08/2020 23:28,28/08/2022 15:53,16:24:29,4,3,56,4,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",TVS Industries Chennai India,400
TID_57,57,PD,BRACKET / GRAB HANDLE,2,2,Delivery completed,13.215,80.32,28/08/2022 09:46,12.766,77.786,28/08/2022 12:54,28/08/2022,28/08/2020 09:46,28/08/2022 12:54,03:07:10,4.9,3,57,4,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",300
TID_58,58,PD,BRACKET / GRAB HANDLE,1,3,Delivery completed,13.215,80.32,28/08/2022 09:48,12.766,77.786,28/08/2022 12:54,28/08/2022,28/08/2020 09:48,28/08/2022 12:54,03:05:34,4.9,2,58,5,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",300
TID_59,59,PD,BRACKET / GRAB HANDLE,1,4,Delivery completed,12.839,79.954,28/08/2022 09:58,12.839,79.954,28/08/2022 13:09,28/08/2022,28/08/2020 09:58,28/08/2022 13:09,03:10:46,4.9,4,59,5,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",200
TID_60,60,PD,BRACKET / GRAB HANDLE,2,5,Delivery completed,28.373519,76.835337,27/08/2022 15:35,12.786517,79.975221,29/08/2022 22:33,27/08/2022,27/08/2020 15:35,29/08/2022 22:33,06:58:00,4.9,5,60,5,"Jamalpur, Gurgaon, Haryana","Singaperumalkoil, Kanchipuram, Tamil Nadu",250
TID_61,61,PD,BRACKET / GRAB HANDLE,1,1,Delivery completed,22.961777,72.094219,27/08/2022 15:35,28.373519,76.835337,28/08/2022 21:22,27/08/2022,27/08/2020 15:35,28/08/2022 21:22,05:47:00,4.9,2,61,5,"Khorajnanoda, Ahmedabad, Gujarat","Jamalpur, Gurgaon, Haryana",350
TID_62,62,PD,BRACKET / GRAB HANDLE,2,2,Delivery completed,12.671093,77.779537,27/08/2022 14:57,13.187219,80.307731,28/08/2022 12:52,26/08/2022,27/08/2020 14:57,28/08/2022 12:52,21:55:00,4,5,62,6,"Gopanapalli, Krishnagiri, Tamil Nadu","Kamarajnagar, Tiruvallur, Tamil Nadu",300
TID_63,63,PD,BRACKET / GRAB HANDLE,1,3,Delivery completed,12.786517,79.975221,27/08/2022 23:40,22.961777,72.094219,29/08/2022 20:36,27/08/2022,27/08/2020 23:40,29/08/2022 20:36,20:56:00,4.1,4,63,6,"Singaperumalkoil, Kanchipuram, Tamil Nadu","Khorajnanoda, Ahmedabad, Gujarat",300
TID_64,64,PD,BRACKET / GRAB HANDLE,1,4,Delivery completed,22.961777,72.094219,27/08/2022 18:01,28.373519,76.835337,28/08/2022 21:21,27/08/2022,27/08/2020 18:01,28/08/2022 21:21,03:20:00,4.9,5,64,6,"Khorajnanoda, Ahmedabad, Gujarat","Jamalpur, Gurgaon, Haryana",250
TID_65,65,PD,BRACKET / GRAB HANDLE,1,5,Delivery completed,12.722686,77.676518,27/08/2022 12:58,28.373519,76.835337,28/08/2022 15:22,25/08/2022,27/08/2020 12:58,28/08/2022 15:22,02:23:14,3.8,6,65,6,"Anekal, Bangalore, Karnataka","Jamalpur, Gurgaon, Haryana",400
TID_66,66,PD,BRACKET / GRAB HANDLE,2,1,Delivery completed,28.373519,76.835337,27/08/2022 13:19,22.961777,72.094219,28/08/2022 20:13,27/08/2022,27/08/2020 13:19,28/08/2022 20:13,06:54:00,4.9,2,66,7,"Jamalpur, Gurgaon, Haryana","Khorajnanoda, Ahmedabad, Gujarat",200
TID_67,67,PD,BRACKET / GRAB HANDLE,1,2,Delivery completed,28.373519,76.835337,27/08/2022 13:32,22.961777,72.094219,28/08/2022 20:06,27/08/2022,27/08/2020 13:32,28/08/2022 20:06,06:34:00,4.9,3,67,7,"Jamalpur, Gurgaon, Haryana","Khorajnanoda, Ahmedabad, Gujarat",200
TID_68,68,PD,BRACKET / GRAB HANDLE,2,3,Delivery completed,9.973636,78.281783,27/08/2022 13:49,12.223062,76.690357,28/08/2022 12:56,25/08/2022,27/08/2020 13:49,28/08/2022 12:56,23:07:00,4.9,4,68,7,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",699
TID_69,69,PD,BRACKET / GRAB HANDLE,1,4,Delivery completed,28.373519,76.835337,27/08/2022 13:51,12.930429,79.931163,29/08/2022 12:37,27/08/2022,27/08/2020 13:51,29/08/2022 12:37,22:46:00,4.9,1,69,7,"Jamalpur, Gurgaon, Haryana","Pondur, Kanchipuram, Tamil Nadu",200
